year,player,position,height,weight,bday,country,yrpro
2010,Marcus Banks,PG,74,200,"November 19, 1981",us,6
2010,Andrea Bargnani,PF,84,245,"October 26, 1985",it,3
2010,Marco Belinelli,SG,77,210,"March 25, 1986",it,2
2010,Chris Bosh,C,83,235,"March 24, 1984",us,6
2010,José Calderón,PG,75,200,"September 28, 1981",es,4
2010,DeMar DeRozan,SG,79,220,"August 7, 1989",us,0
2010,Reggie Evans,PF,80,245,"May 18, 1980",us,7
2010,Jarrett Jack,PG,75,200,"October 28, 1983",us,4
2010,Amir Johnson,PF,81,240,"May 1, 1987",us,4
2010,Pops Mensah-Bonsu,PF,81,240,"September 7, 1983",gb,2
2010,Rasho Nesterović,C,84,248,"May 30, 1976",si,11
2010,Patrick O'Bryant,C,84,260,"June 20, 1986",us,3
2010,Hedo Türkoğlu,SF,82,220,"March 19, 1979",tr,9
2010,Sonny Weems,SG,78,205,"July 8, 1986",us,1
2010,Antoine Wright,SF,79,210,"February 6, 1984",us,4
2010,Ray Allen,SG,77,205,"July 20, 1975",us,13
2010,Tony Allen,SG,76,213,"January 11, 1982",us,5
2010,Marquis Daniels,SF,78,200,"January 7, 1981",us,6
2010,Glen Davis,PF,81,289,"January 1, 1986",us,2
2010,Michael Finley,SF,79,215,"March 6, 1973",us,14
2010,Kevin Garnett,PF,83,240,"May 19, 1976",us,14
2010,J.R. Giddens,SF,77,215,"February 13, 1985",us,1
2010,Eddie House,PG,73,180,"May 14, 1978",us,9
2010,Lester Hudson,PG,75,190,"August 7, 1984",us,0
2010,Oliver Lafayette,SG,74,190,"May 6, 1984",us,0
2010,Marcus Landry,SF,79,230,"November 1, 1985",us,0
2010,Kendrick Perkins,C,82,270,"November 10, 1984",us,6
2010,Paul Pierce,SF,79,235,"October 13, 1977",us,11
2010,Nate Robinson,PG,69,180,"May 31, 1984",us,4
2010,Rajon Rondo,PG,73,186,"February 22, 1986",us,3
2010,Brian Scalabrine,PF,81,241,"March 18, 1978",us,8
2010,Henry Walker,SF,78,220,"October 9, 1987",us,1
2010,Rasheed Wallace,C,82,225,"September 17, 1974",us,14
2010,Shelden Williams,PF,81,250,"October 21, 1983",us,3
2010,Chucky Atkins,PG,71,160,"August 14, 1974",us,10
2010,Kwame Brown,C,83,270,"March 10, 1982",us,8
2010,Will Bynum,PG,72,185,"January 4, 1983",us,2
2010,Austin Daye,SF,83,220,"June 5, 1988",us,0
2010,Ben Gordon,SG,75,200,"April 4, 1983",gb,5
2010,Richard Hamilton,SG,78,185,"February 14, 1978",us,10
2010,Jonas Jerebko,PF,82,231,"March 2, 1987",se,0
2010,Jason Maxiell,C,79,260,"February 18, 1983",us,4
2010,Tayshaun Prince,SF,81,212,"February 28, 1980",us,7
2010,Rodney Stuckey,PG,77,210,"April 21, 1986",us,2
2010,DaJuan Summers,SF,80,230,"January 24, 1988",us,0
2010,Charlie Villanueva,PF,83,232,"August 24, 1984",us,4
2010,Ben Wallace,C,81,240,"September 10, 1974",us,13
2010,Chris Wilcox,PF,82,221,"September 3, 1982",us,7
